Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method
Foot Locker,2021-11-06,Southeast,South Carolina,Men'S Street Footwear,50,278,13900,Online
Foot Locker,2020-03-14,Northeast,New York,Men'S Apparel,46,278,12788,Outlet
West Gear,2021-01-19,West,California,Men'S Athletic Footwear,47,278,13066,Outlet
Walmart,2021-06-17,Southeast,Florida,Women'S Apparel,103,218,22454,Online
Sports Direct,2021-09-14,South,Alabama,Women'S Street Footwear,36,278,10008,Outlet
West Gear,2021-07-06,West,Idaho,Women'S Street Footwear,34,278,9452,Outlet
West Gear,2021-01-12,West,California,Men'S Street Footwear,56,277,15512,Online
Foot Locker,2020-01-21,Northeast,New York,Women'S Street Footwear,36,276,9936,Online
Walmart,2020-08-17,South,Texas,Women'S Apparel,37,276,10212,Online
West Gear,2021-07-16,South,Louisiana,Women'S Apparel,103,163,16789,Online
Sports Direct,2021-08-25,South,Alabama,Men'S Street Footwear,10,700,7000,Outlet
Sports Direct,2021-03-02,Southeast,North Carolina,Men'S Street Footwear,28,276,7728,Online
Sports Direct,2021-08-23,South,Alabama,Men'S Apparel,25,275,6875,Outlet
Sports Direct,2021-08-27,South,Alabama,Women'S Street Footwear,15,575,8625,Outlet
Sports Direct,2021-08-21,South,Alabama,Women'S Street Footwear,15,475,7125,Outlet
West Gear,2021-01-11,Midwest,Missouri,Women'S Street Footwear,15,475,7125,In-Store
Sports Direct,2021-11-17,South,Mississippi,Men'S Athletic Footwear,20,450,9000,Online
Sports Direct,2021-01-23,South,Mississippi,Women'S Street Footwear,15,450,6750,Online
West Gear,2021-04-03,Midwest,Wisconsin,Men'S Street Footwear,20,450,9000,In-Store
Foot Locker,2020-03-10,Northeast,New York,Men'S Street Footwear,44,434,19096,Outlet
Foot Locker,2021-01-18,Midwest,Michigan,Women'S Athletic Footwear,25,275,6875,In-Store
Foot Locker,2021-04-18,Midwest,Missouri,Men'S Athletic Footwear,30,275,8250,In-Store
Foot Locker,2021-04-18,Midwest,Missouri,Women'S Street Footwear,20,275,5500,In-Store
Foot Locker,2021-09-19,Midwest,Missouri,Women'S Athletic Footwear,15,275,4125,In-Store
Foot Locker,2021-09-19,Midwest,Missouri,Men'S Apparel,25,275,6875,In-Store
West Gear,2021-05-12,West,Utah,Women'S Athletic Footwear,25,275,6875,In-Store
West Gear,2021-10-11,West,Utah,Women'S Athletic Footwear,20,275,5500,In-Store
West Gear,2021-10-11,West,Utah,Men'S Apparel,30,275,8250,In-Store
Foot Locker,2021-03-16,South,Mississippi,Women'S Athletic Footwear,20,275,5500,Online
Walmart,2021-10-21,South,Arkansas,Women'S Athletic Footwear,20,275,5500,Online
Walmart,2021-10-21,South,Arkansas,Men'S Apparel,30,275,8250,Online
West Gear,2021-02-21,South,Arkansas,Men'S Athletic Footwear,25,275,6875,Online
West Gear,2021-03-19,South,Oklahoma,Women'S Street Footwear,10,275,2750,Online
