Retailer,Invoice Date,Region,State,Product,Price per Unit,Units Sold,Total Sales,Sales Method
Foot Locker,01-01-2020,Northeast,New York,Men'S Street Footwear,50,120,6000,In-Store
Foot Locker,02-01-2020,Northeast,New York,Men'S Athletic Footwear,50,100,5000,In-Store
Foot Locker,03-01-2020,Northeast,New York,Women'S Street Footwear,40,100,4000,In-Store
Foot Locker,04-01-2020,Northeast,New York,Women'S Athletic Footwear,45,85,3825,In-Store
Foot Locker,05-01-2020,Northeast,New York,Men'S Apparel,60,90,5400,In-Store
Foot Locker,06-01-2020,Northeast,New York,Women'S Apparel,50,100,5000,In-Store
Foot Locker,07-01-2020,Northeast,New York,Men'S Street Footwear,50,125,6250,In-Store
Foot Locker,08-01-2020,Northeast,New York,Men'S Athletic Footwear,50,90,4500,Outlet
Foot Locker,21-01-2020,Northeast,New York,Women'S Street Footwear,40,95,3800,Outlet
Foot Locker,22-01-2020,Northeast,New York,Women'S Athletic Footwear,45,83,3735,Outlet
Foot Locker,23-01-2020,Northeast,New York,Men'S Apparel,60,90,5400,Outlet
Foot Locker,24-01-2020,Northeast,New York,Women'S Apparel,50,100,5000,Outlet
Foot Locker,25-01-2020,Northeast,New York,Men'S Street Footwear,50,122,6100,Outlet
Foot Locker,26-01-2020,Northeast,New York,Men'S Athletic Footwear,50,93,4650,Outlet
Foot Locker,27-01-2020,Northeast,New York,Women'S Street Footwear,40,95,3800,Outlet
Foot Locker,28-01-2020,Northeast,New York,Women'S Athletic Footwear,45,80,3600,Outlet
Foot Locker,29-01-2020,Northeast,New York,Men'S Apparel,60,85,5100,Outlet
Foot Locker,30-01-2020,Northeast,New York,Women'S Apparel,50,95,4750,Outlet
Foot Locker,31-01-2020,Northeast,New York,Men'S Street Footwear,50,120,6000,Outlet
Foot Locker,01-02-2020,Northeast,New York,Men'S Athletic Footwear,50,90,4500,Outlet
Foot Locker,02-02-2020,Northeast,New York,Women'S Street Footwear,40,90,3600,Outlet
Foot Locker,03-02-2020,Northeast,New York,Women'S Athletic Footwear,45,83,3735,Outlet
